Nombre Estacion	Nro Estacion	Año	Mes	Dia	Temperatura media diaria	Cant obs. 1	Temperatura de rocio	Cant obs. 2	Presion reducida al nivel medio del mar (hpa)	Cant obs. 3	Presion al nivel de la estacion (hpa)	Cant obs. 4	Visibilidad en km	Cant obs. 5	Viento medio (m/s)	Cant obs. 6	Máximo viento sostenido (m/s)	Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Total precipitation en mm	Neblina	Lluvia o llovizna	Nieve o agua nieve	Granizo	Tormenta	Cluster_SOM_1
Azul_Aero	876410	2013	1	1	13,4	8	7	8	1017,7	8	1000,1	8	15	8	5,6	8	9,3	24,8	8	0	0	1	0	0	0	c_som_2_1
Azul_Aero	876410	2013	1	2	13,5	8	7,7	8	1021,2	8	1003,5	8	17,5	8	2	8	4,1	21,2	5	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	1	3	18,2	8	12,6	8	1017,5	8	1000	8	17,5	8	5,8	8	7,7	25,8	11,5	0	0	0	0	0	0	c_som_2_5
Azul_Aero	876410	2013	1	4	21,6	8	15,5	8	1013,6	8	996,5	8	15	8	3,5	8	4,6	27,9	13,8	0	0	0	0	0	0	c_som_3_4
Azul_Aero	876410	2013	1	5	23,1	8	18,5	8	1007,1	8	990,2	8	15	8	4	8	5,7	29,2	18,4	0	0	0	0	0	0	c_som_3_4
Azul_Aero	876410	2013	1	6	22	8	15,7	8	1005,9	8	988,9	8	11,3	8	4,4	8	7,7	29,9	11,5	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	1	7	23,9	8	16,5	8	1001,9	8	985,2	8	13,2	8	4,5	8	6,2	30,4	19,5	0	0	1	0	0	0	c_som_3_4
Azul_Aero	876410	2013	1	8	19,1	8	12,2	8	1009,4	8	992,3	8	17,5	8	3,5	8	5,1	29,5	11,8	0	0	1	0	0	0	c_som_2_1
Azul_Aero	876410	2013	1	9	19,9	8	11,2	8	1016,6	8	999,3	8	15,6	8	2,4	8	3,6	29	9	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	1	10	24,4	8	16,1	8	1017,5	8	1000,5	8	15	8	3,9	8	5,7	31,5	15,2	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	1	11	25,7	8	14,9	8	1014,9	8	998,1	8	15	8	4,8	8	6,7	32,2	18,4	0	0	0	0	0	0	c_som_3_4
Azul_Aero	876410	2013	1	12	23,9	8	14,6	8	1012,3	8	995,4	8	16,9	8	3,8	8	6,2	33	15,2	0	0	0	0	0	0	c_som_3_4
Azul_Aero	876410	2013	1	14	21,5	8	16,8	8	1016,8	8	999,7	8	13,2	8	3,4	8	5,1	31,4	15,9	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	1	15	23,4	8	16,7	8	1012,4	8	995,5	8	13,8	8	2,9	8	6,2	30,5	14,9	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	1	16	21,9	8	16,9	8	1008,6	8	991,7	8	13,7	8	2,8	8	5,1	31,8	14,9	0,5	0	1	0	0	0	c_som_3_4
Azul_Aero	876410	2013	1	17	19,4	8	17,1	8	1013,9	8	996,7	8	13,7	8	3,8	8	6,2	27,8	14	0,5	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	1	18	19,6	8	14,4	8	1018	8	1000,7	8	15	8	3,8	8	5,1	25,3	14	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	1	19	17,9	8	12	8	1021,1	8	1003,7	8	15	8	4,7	8	8,7	26	10,5	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	1	20	17	8	9,9	8	1024,3	8	1006,7	8	16,9	8	2,8	8	4,1	25	7,2	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	1	21	19,8	8	13,4	8	1022,5	8	1005	8	15,6	8	4	8	7,2	26,2	12,8	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	1	22	21,5	8	14,3	8	1018,4	8	1001,1	8	13,2	8	4	8	5,1	28,2	10	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	1	23	24,8	8	16,5	8	1011,1	8	994,2	8	13,2	8	3,7	8	6,2	31,9	16	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	1	24	23,4	8	17,5	8	1002,3	8	985,5	8	15	8	6	8	12,3	32,3	17,7	6,1	0	1	0	0	1	c_som_1_5
Azul_Aero	876410	2013	1	25	15,6	8	9,3	8	1012,3	8	995	8	16,3	8	5,1	8	10,3	29,9	10,3	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	1	26	17,1	8	6,2	8	1014,4	8	996,9	8	15,6	8	3,5	8	5,1	27,8	8	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	1	27	22,9	8	10,7	8	1011,3	8	994,2	8	15	8	6	8	8,7	31,8	14,5	0	0	0	0	0	0	c_som_3_5
