Nombre Estacion	Provincia	Fecha	Temperatura media diaria	Temperatura de rocio	 Presion reducida al nivel medio del mar (hpa)	Presion al nivel de la estacion (hpa)	Visibilidad en km	 Viento medio (m/s)	Máximo viento sostenido (m/s)	 Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Neblina	Lluvia	Nieve o agua nieve	Granizo	random
Rosario_Aero	Santa_Fe	10801	12,6	10,1	1014,4	1011,4	10	5,8	8,8	17,3	10,9	0	1	0	0	0,342588183
Villa_Dolores_Aero	Cordoba	10712	11,5	1,5	1021,9	955	20	2,6	4,1	21,6	3	0	0	0	0	0,139918112
San_Luis_Aero	San_Luis	10214	26,4	12,5	1007,1	929,1	20	3,6	7,2	32,4	17,9	0	0	0	0	0,907813359
Marcos_Juarez_Aero	Cordoba	10505	16	11,9	1021,6	1007,9	18,5	2	3,6	24,2	8,7	0	0	0	0	0,196121228
San_Martin_Mza	Mendoza	10622	9,7	-2	1013,3	936,9	15	3,3	4,1	19,8	-0,2	0	0	0	0	0,464594044
Sauce_Viejo_Aero	Santa_Fe	10715	10,5	3,2	1022,4	1020,2	12,1	0,9	2,6	18,7	3	0	0	0	0	0,114954123
Marcos_Juarez_Aero	Cordoba	10617	6,9	2,9	1020,9	1006,8	20	2,8	4,6	14,1	-0,8	0	0	0	0	0,653581227
Rosario_Aero	Santa_Fe	10722	5,4	-0,4	1024,5	1021,4	12,2	6,8	8,7	9,5	1,6	0	0	0	0	0,892461886
Santa_Rosa_Aero	La_Pampa	10811	10,8	-0,8	1012,1	989,2	9,2	3,3	6,2	20	3,2	0	1	0	0	0,251608464
Cordoba_Aero	Cordoba	10924	7,3	-5,5	1030,9	970,9	10,9	3,6	7,2	17	-3,7	0	0	0	0	0,559160694
Esquel_Aero	Chubut	10509	12,4	5,5	1004	913,6	16,7	3,4	6,2	15,3	8,2	0	1	0	0	0,772738273
Oran_Aero	Salta	10822	21,8	9,6	1004,4	964,3	5,8	4	12,9	35,5	16	0	0	0	0	0,622120572
Neuquen_Aero	Neuquen	11101	17,9	0,7	1016,5	984,8	13	3,9	6,7	26	11,6	0	0	0	0	0,969878012
Cordoba_Aero	Cordoba	10523	8,9	3,6	1020,6	961,4	9,8	3,2	6,2	20	0,9	0	0	0	0	0,456330736
Posadas_Aero	Misiones	10316	21,8	17,3	1017,7	1003,1	14	4	5,1	28,5	18,8	0	1	0	0	0,098401652
Tucuman_Aero_II	Tucuman	10512	19,6	12,1	1013,4	962,3	9,2	1,8	4,6	25,2	14	0	0	0	0	0,495482873
San_Juan_Aero_II	San_Juan	10624	7,7	-0,8	1021,8	950,8	14,8	1,3	2,6	15,7	1	0	0	0	0	0,388823296
Esquel_Aero	Chubut	10719	-3,6	-6,6	1024,2	926	10,1	4,1	13,4	6	-13,7	1	0	0	0	0,613262501
Neuquen_Aero	Neuquen	11018	23,5	4,6	1008,9	977,9	12,7	2,6	6,7	31	14,5	0	0	0	0	0,772760961
Villa_Reynolds_Aero	San_Luis	10410	19,6	11,6	1008,6	953,4	13,2	3,4	6,2	28,8	13,6	0	1	0	0	0,947083104
Esquel_Aero	Chubut	11021	4,2	-4,8	1016,5	922,4	15,8	6	10,8	9	-0,3	0	0	0	0	0,692386154
La_Rioja_Aero	La_Rioja	10818	16,3	3,7	1014,1	964,1	9,8	2	2,6	23	3,2	0	0	0	0	0,467364432
Resistencia_Aero	Chaco	10830	17,9	9,1	1014,7	1008,5	8,4	3	6	28	10,3	0	0	0	0	0,042869818
Rio_Cuarto_Aero	Cordoba	10516	7	-2,6	1026	974,9	12,2	4,4	8,7	14,3	0	0	0	0	0	0,862035053
Corrientes_Aero	Entre_Rios	11016	24,3	15,1	1014	1006,7	9,3	2,1	3,6	30,1	16,4	0	0	0	0	0,070334515
Santa_Rosa_Aero	La_Pampa	10204	24,8	14,2	1010,4	988,5	17,4	7,2	9,3	33,7	15,7	0	0	0	0	0,233596208
El_Bolson	Rio_Negro	10725	5,6	0,5	1015,2	973,9	29,9	1,5	3,1	13,1	-2,5	0	0	0	0	0,019634418
Formosa_Aero	Formosa	10723	7,7	-0,6	1028,5	1021	13,2	2,3	4,1	13	-0,5	0	0	0	0	0,93497217
Tandil_Aero	Buenos_Aires	10603	7,8	3,7	1015,6	994,3	13,7	1,5	5,1	17,6	1,5	1	0	0	0	0,950726483
Azul_Aero	Buenos_Aires	10822	6,8	-0,9	1013,6	995,7	11,3	6	9,3	16,2	2,5	1	0	0	0	0,568603858
Corrientes_Aero	Entre_Rios	10525	15,4	12,2	1019,9	1012,4	8,7	2,2	4,6	20,5	8,7	1	0	0	0	0,569852152
Azul_Aero	Buenos_Aires	10914	4,9	-1,1	1027,3	1008,9	14,3	4,5	8,2	11,4	-2,2	0	0	0	0	0,446941165
Villa_Reynolds_Aero	San_Luis	10107	26,9	15,8	1001,3	947,8	12,6	6,7	11,3	35	18,9	0	0	0	0	0,406172209
La_Plata	Buenos_Aires	10907	16,2	15,6	1011,8	1009	6,1	5,3	7,7	22,8	12,7	1	1	0	0	0,404344387
