Nombre Estacion	Provincia	Fecha	Estacion	Temperatura media diaria	Temperatura de rocio	 Presion reducida al nivel medio del mar (hpa)	Presion al nivel de la estacion (hpa)	Visibilidad en km	 Viento medio (m/s)	Máximo viento sostenido (m/s)	 Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Neblina	Lluvia	Nieve o agua nieve	Granizo	Cluster_SOM_1
Rio_Gallegos_Aero	Santa_Cruz_S	10101	Verano	12,7	4	1019,3	1017	16,6	5,5	9,3	18,8	4,4	0	0	0	0	c_som_2_2
Rio_Cuarto_Aero	Cordoba_S	10101	Verano	17,4	7,1	1019,8	971	15	4,8	6,7	27	10,8	0	0	0	0	c_som_3_1
San_Juan_Aero_II	San_Juan	10101	Verano	22,7	2,8	1016,2	949,3	15	6,7	9,3	35	16,1	0	0	0	0	c_som_3_1
Tartagal_Aero	Salta	10101	Verano	24,1	18,9	1007,9	958,7	9,2	4	9,3	39,3	19	0	1	0	0	c_som_3_1
Catamarca_Aero_II	Catamarca	10101	Verano	22,8	14,1	1013,2	962,5	17,9	8,1	11,3	30,9	17,2	0	1	0	0	c_som_3_1
Comodoro_Rivadavia_Aero	Chubut	10101	Verano	13,1	6,8	1022,1	1016,4	15,3	3,6	8,7	18	5,5	0	0	0	0	c_som_2_2
Corrientes_Aero	Corrientes	10101	Verano	23,1	19,4	1012	1004,9	8,4	6,1	12,9	33,9	20,4	0	1	0	0	c_som_3_2
Esquel_Aero	Chubut	10101	Verano	14,2	1,1	1020,2	928,4	29,9	3,1	4,6	23,2	2,2	0	0	0	0	c_som_2_1
Reconquista_Aero	Santa_Fe	10101	Verano	21,8	16,1	1014,4	1008,2	12,9	5,5	8,2	35	19,3	0	1	0	0	c_som_3_2
General_Pico_Aero	La_Pampa	10101	Verano	15,7	5,3	1021,2	1004	16,9	5,1	19	27,6	9	0	0	0	0	c_som_1_2
Aeroparque_B_Aires_Aero	Buenos_Aires_NE	10101	Verano	17,9	9,2	1017,3	1016,6	10,8	7,6	12,3	24,1	12,2	0	0	0	0	c_som_1_2
Ushuaia_Aero_II	Ushuaia	10101	Verano	9,9	3,8	1016,1	1009,1	15,4	6,6	12,3	12,5	7,6	0	0	0	0	c_som_1_2
Santa_Rosa_Aero	La_Pampa	10101	Verano	15,5	2,9	1022	999,3	28,2	4,3	9,3	25,8	7,4	0	0	0	0	c_som_1_1
San_Luis_Aero	San_Luis	10101	Verano	19,4	4,7	1016,9	936,6	20	9,2	13,9	27,8	12,8	0	0	0	0	c_som_3_1
Monte_Caseros_Aero	Corrientes	10101	Verano	20,7	16,7	1013,7	1007,5	12,7	7,2	9,8	33,5	17,3	0	1	0	0	c_som_3_2
Laboulaye_Aero	Cordoba_S	10101	Verano	16,7	5,7	1020,5	1004,3	10	3,2	7,2	27	9,9	0	0	0	0	c_som_2_2
Paso_De_Los_Libres_Aero	Corrientes	10101	Verano	20,6	16,1	1013,5	1005,3	10,8	8,3	11,3	22	18	0	1	0	0	c_som_3_2
Formosa_Aero	Formosa	10101	Verano	24,3	21,3	1010,6	1003,8	12,7	4,5	9,3	34,8	19,2	0	1	0	0	c_som_3_2
Villa_Dolores_Aero	Cordoba_O	10101	Verano	22,2	5,2	1014,9	951,2	29,9	3,6	9,3	34,1	14,6	0	0	0	0	c_som_3_1
Bahia_Blanca_Aero	Buenos_Aires_C	10101	Verano	14,7	4,5	1020,3	1010,4	14,2	8	12,3	23	9,2	0	0	0	0	c_som_1_2
San_Rafael_Aero	Mendoza	10101	Verano	17,9	4	1019,8	935,1	20	3,8	6,2	27,8	9,8	0	0	0	0	c_som_2_1
Villa_Reynolds_Aero	San_Luis	10101	Verano	16,4	6	1021,3	964,9	15	4,3	9,8	27,7	7	0	0	0	0	c_som_2_1
Concordia_Aero	Entre_Rios	10101	Verano	20	13,3	1014,1	1009,7	15	7	9,3	33,2	15,5	0	1	0	0	c_som_3_2
Mendoza_Aero	Mendoza	10101	Verano	20,9	5,2	1017	938,6	11,6	3	7,2	28,7	14,2	0	0	0	0	c_som_3_1
Cordoba_Aero	Cordoba_C	10101	Verano	19,9	5,9	1018,7	962,1	11,4	4,6	7,7	31,5	13,9	0	0	0	0	c_som_3_1
Mar_Del_Plata_Aero	Buenos_Aires_E	10101	Verano	12,8	8	1014,4	1011,9	8,9	6	9,3	24,6	9	0	1	0	0	c_som_2_2
Tandil_Aero	Buenos_Aires_C	10101	Verano	12,8	7,2	1016,3	995,5	17,5	8	11,3	25,3	7,9	0	0	0	0	c_som_1_2
Iguazu_Aero	Misiones	10101	Verano	22,1	21,4	1011	980	9	3,8	10,3	31,3	18,6	0	1	0	0	c_som_3_2
Junin_Aero	Buenos_Aires_N	10101	Verano	16,3	5,7	1018,3	1008,8	10,8	4,9	5,7	28,4	10	0	0	0	0	c_som_2_2
Viedma_Aero	Rio_Negro_E	10101	Verano	14,5	4,2	1020,8	1020	26,7	8,6	12,3	20,2	9,5	0	1	0	0	c_som_1_1
Ceres_Aero	Santa_Fe	10101	Verano	21,5	13,3	1016,9	1006,7	15	7	8,2	37	16,8	0	1	0	0	c_som_3_2
Marcos_Juarez_Aero	Cordoba_E	10101	Verano	18,4	6,4	1017,8	1004,4	20	6,7	10,8	31,6	9,7	0	0	0	0	c_som_1_2
La_Plata	Buenos_Aires_NE	10101	Verano	17	8,3	1016,4	1013,6	10	5,5	10,3	30	9,2	0	0	0	0	c_som_2_2
Resistencia_Aero	Chaco	10101	Verano	23,4	19,5	1012,1	1006	12,1	2,3	4,6	34,4	21	0	1	0	0	c_som_3_2
Neuquen_Aero	Neuquen_E	10101	Verano	17,8	1,3	1022,1	990,2	20	2,8	4,1	26,5	8,4	0	0	0	0	c_som_2_2
Gualeguaychu_Aero	Entre_Rios	10101	Verano	18,3	9,7	1017,5	1014,8	15	5,5	8,7	31,3	12,3	0	0	0	0	c_som_3_2
Tucuman_Aero_II	Tucuman	10101	Verano	22,4	15,1	1014,6	964,5	10,8	4,7	14,4	31	16,4	0	1	0	0	c_som_3_1
Ezeiza_Aero	Buenos_Aires_NE	10101	Verano	16,7	8,3	1016,7	1014,3	10,3	6	11,3	29,5	9,4	0	0	0	0	c_som_1_2
La_Rioja_Aero	La_Rioja	10101	Verano	23,1	13,8	1017,5	969,1	18,5	3,9	6,2	29,8	19,2	0	0	0	0	c_som_3_1
Dolores_Aero	Buenos_Aires_E	10101	Verano	14,9	8	1014,7	1013,6	10	8,6	11,8	25,7	9	0	0	0	0	c_som_1_2
San_Martin_Mza	Mendoza	10101	Verano	20,5	4,5	1017,6	944,2	15	3,7	4,6	29,9	13,6	0	0	0	0	c_som_3_1
Pilar	Cordoba_C	10101	Verano	19,8	6,9	1019,9	980,9	20	4,4	6,2	31,5	13	0	0	0	0	c_som_3_1
Chamical_Aero	La_Rioja	10101	Verano	25,7	12,1	1015,3	963,6	20	1,6	3,1	39,7	19	0	0	0	0	c_som_3_1
Posadas_Aero	Misiones	10101	Verano	24,8	20,8	1013,9	999,6	12,6	3,2	6,2	30	21	0	1	0	0	c_som_3_2
Presidencia_R_S_Penia_Aero	Chaco	10101	Verano	24,9	18,2	1012	1001,4	16,1	5,8	8,7	36,8	20,4	0	1	0	0	c_som_3_2
Trelew_Aero	Chubut	10101	Verano	12,5	4,7	1022,8	1017,7	29,9	4,3	8,7	18,4	6,2	0	0	0	0	c_som_1_1
Santiago_Del_Estero_Aero	Santiago_Del_Estero	10101	Verano	22,6	14,9	1017,5	994,8	13,5	3,6	6,2	31,7	19,1	0	1	0	0	c_som_3_2
Sauce_Viejo_Aero	Santa_Fe	10101	Verano	20,7	10,9	1016,8	1014,8	12,1	6,7	9,3	32,8	14,8	0	0	0	0	c_som_3_2
Rosario_Aero	Santa_Fe	10101	Verano	18,4	5,8	1017,8	1014,9	15	5,5	8,2	32,2	10,9	0	0	0	0	c_som_2_2
Laboulaye_Aero	Cordoba_S	10102	Verano	17,6	7,4	1019,4	1003,2	10	3,6	7,2	26,5	9	0	0	0	0	c_som_2_2
General_Pico_Aero	La_Pampa	10102	Verano	18,3	8,2	1018,8	1001,8	20	3,8	6,2	25,6	12,5	0	0	0	0	c_som_3_2
San_Julian_Aero	Santa_Cruz_E	10102	Verano	13,3	8,5	1009,4	1001,9	29,9	5,1	9,3	22	8,2	0	0	0	0	c_som_1_1
Neuquen_Aero	Neuquen_E	10102	Verano	24,4	2,4	1014,8	983,3	15,6	3,9	7,2	30,3	14	0	0	0	0	c_som_3_1
Tandil_Aero	Buenos_Aires_C	10102	Verano	12,2	5,7	1021	999,9	17,2	2,7	5,1	20,2	1,8	0	0	0	0	c_som_2_2
Junin_Aero	Buenos_Aires_N	10102	Verano	16,2	7,8	1020,2	1010,5	11,7	2,8	5,7	24,4	6,2	0	0	0	0	c_som_2_2
Resistencia_Aero	Chaco	10102	Verano	21,8	13	1018,1	1011,9	12,1	2,4	4,6	26	13,5	0	0	0	0	c_som_3_2
Viedma_Aero	Rio_Negro_E	10102	Verano	18,7	4,2	1017,5	1016,6	29,9	4,2	7,2	28,2	2,9	0	0	0	0	c_som_1_1
Azul_Aero	Buenos_Aires_C	10102	Verano	13,5	7,7	1021,2	1003,5	17,5	2	4,1	21,2	5	0	0	0	0	c_som_2_2
La_Rioja_Aero	La_Rioja	10102	Verano	27,2	10,1	1011,4	963,3	20	2,7	5,1	33	15,2	0	0	0	0	c_som_3_1
Catamarca_Aero_II	Catamarca	10102	Verano	23,6	7,9	1012,6	961,2	20	9,9	15,9	27,7	16,9	0	0	0	0	c_som_3_1
Formosa_Aero	Formosa	10102	Verano	21,3	15,2	1016,2	1009,2	13,2	3,6	6,2	27	15,4	0	0	0	0	c_som_3_2
Ushuaia_Aero_II	Ushuaia	10102	Verano	9,7	4,5	1007,8	1000,8	16,1	5	9,8	14	7,1	0	1	0	0	c_som_1_2
La_Plata	Buenos_Aires_NE	10102	Verano	17,1	8,1	1021,1	1018,4	9,5	2,7	4,1	22,1	7,6	0	0	0	0	c_som_2_2
Posadas_Aero	Misiones	10102	Verano	21,4	13,1	1017,3	1002,7	13,2	2,8	5,1	27,2	15,3	0	0	0	0	c_som_3_2
San_Luis_Aero	San_Luis	10102	Verano	21,6	6,6	1013,6	933,5	20	4,9	8,2	29,6	12,9	0	0	0	0	c_som_3_1
Corrientes_Aero	Corrientes	10102	Verano	22	12,1	1018	1010,7	10	3,7	5,1	26	14,1	0	0	0	0	c_som_3_2
Tartagal_Aero	Salta	10102	Verano	21,5	16,6	1015,3	964,6	10	2	4,1	24,8	19	0	0	0	0	c_som_3_2
Rio_Cuarto_Aero	Cordoba_S	10102	Verano	17,9	6,3	1017,9	968,9	15	7,3	10,3	26,8	8,7	0	0	0	0	c_som_1_2
Villa_Reynolds_Aero	San_Luis	10102	Verano	19,9	7,6	1016,5	960,5	15	4,7	8,2	30,9	10,3	0	0	0	0	c_som_3_1
Bahia_Blanca_Aero	Buenos_Aires_C	10102	Verano	15,6	5,2	1019,8	1009,8	14,3	3,7	5,1	26,4	5	0	0	0	0	c_som_2_2
