Nombre Estacion	Nro Estacion	Año	Mes	Dia	Temperatura media diaria	Temperatura de rocio	Presion reducida al nivel medio del mar (hpa)	Presion al nivel de la estacion (hpa)	Visibilidad en km	Viento medio (m/s)	Máximo viento sostenido (m/s)	Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Neblina	Lluvia	Nieve o agua nieve	Granizo
Azul_Aero	876410	2013	1	1	13,4	7	1017,7	1000,1	15	5,6	9,3	24,8	8	0	1	0	0
Azul_Aero	876410	2013	1	2	13,5	7,7	1021,2	1003,5	17,5	2	4,1	21,2	5	0	0	0	0
Azul_Aero	876410	2013	1	3	18,2	12,6	1017,5	1000	17,5	5,8	7,7	25,8	11,5	0	0	0	0
Azul_Aero	876410	2013	1	4	21,6	15,5	1013,6	996,5	15	3,5	4,6	27,9	13,8	0	0	0	0
Azul_Aero	876410	2013	1	5	23,1	18,5	1007,1	990,2	15	4	5,7	29,2	18,4	0	0	0	0
Azul_Aero	876410	2013	1	6	22	15,7	1005,9	988,9	11,3	4,4	7,7	29,9	11,5	1	0	0	0
Azul_Aero	876410	2013	1	7	23,9	16,5	1001,9	985,2	13,2	4,5	6,2	30,4	19,5	0	1	0	0
Azul_Aero	876410	2013	1	8	19,1	12,2	1009,4	992,3	17,5	3,5	5,1	29,5	11,8	0	1	0	0
Azul_Aero	876410	2013	1	9	19,9	11,2	1016,6	999,3	15,6	2,4	3,6	29	9	0	0	0	0
Azul_Aero	876410	2013	1	10	24,4	16,1	1017,5	1000,5	15	3,9	5,7	31,5	15,2	0	0	0	0
Azul_Aero	876410	2013	1	11	25,7	14,9	1014,9	998,1	15	4,8	6,7	32,2	18,4	0	0	0	0
Azul_Aero	876410	2013	1	12	23,9	14,6	1012,3	995,4	16,9	3,8	6,2	33	15,2	0	0	0	0
Azul_Aero	876410	2013	1	13	24,6	17,4	1015,3	998,4	15,6	2,3	3,1	31,6	16	0	1	0	0
Azul_Aero	876410	2013	1	14	21,5	16,8	1016,8	999,7	13,2	3,4	5,1	31,4	15,9	0	0	0	0
Azul_Aero	876410	2013	1	15	23,4	16,7	1012,4	995,5	13,8	2,9	6,2	30,5	14,9	0	0	0	0
Azul_Aero	876410	2013	1	16	21,9	16,9	1008,6	991,7	13,7	2,8	5,1	31,8	14,9	0	1	0	0
Azul_Aero	876410	2013	1	17	19,4	17,1	1013,9	996,7	13,7	3,8	6,2	27,8	14	0	0	0	0
Azul_Aero	876410	2013	1	18	19,6	14,4	1018	1000,7	15	3,8	5,1	25,3	14	0	0	0	0
Azul_Aero	876410	2013	1	19	17,9	12	1021,1	1003,7	15	4,7	8,7	26	10,5	0	0	0	0
Azul_Aero	876410	2013	1	20	17	9,9	1024,3	1006,7	16,9	2,8	4,1	25	7,2	0	0	0	0
Azul_Aero	876410	2013	1	21	19,8	13,4	1022,5	1005	15,6	4	7,2	26,2	12,8	0	0	0	0
Azul_Aero	876410	2013	1	22	21,5	14,3	1018,4	1001,1	13,2	4	5,1	28,2	10	1	0	0	0
Azul_Aero	876410	2013	1	23	24,8	16,5	1011,1	994,2	13,2	3,7	6,2	31,9	16	0	0	0	0
Azul_Aero	876410	2013	1	24	23,4	17,5	1002,3	985,5	15	6	12,3	32,3	17,7	0	1	0	0
Azul_Aero	876410	2013	1	25	15,6	9,3	1012,3	995	16,3	5,1	10,3	29,9	10,3	0	0	0	0
Azul_Aero	876410	2013	1	26	17,1	6,2	1014,4	996,9	15,6	3,5	5,1	27,8	8	0	0	0	0
Azul_Aero	876410	2013	1	27	22,9	10,7	1011,3	994,2	15	6	8,7	31,8	14,5	0	0	0	0
Azul_Aero	876410	2013	1	28	26,5	16,9	1011,4	994,6	13,2	3,3	5,7	35,7	18,5	0	0	0	0
Azul_Aero	876410	2013	1	29	25,9	16,3	1014,2	997,3	14,8	3,1	9,3	36	19,6	0	1	0	0
Azul_Aero	876410	2013	1	30	22,4	17,6	1012,5	995,5	14,5	3,6	8,2	32,5	16,3	0	1	0	0
Azul_Aero	876410	2013	1	31	22,3	18,4	1010,5	993,5	13,2	3,6	5,1	29,2	17,5	1	0	0	0
Azul_Aero	876410	2013	2	1	24,9	19,9	1004,8	988	12,6	5,2	8,2	31,8	17,9	0	0	0	0
Azul_Aero	876410	2013	2	2	20,5	12,9	1011,6	994,5	14,8	4,9	7,2	32,9	13	0	0	0	0
Azul_Aero	876410	2013	2	3	16,2	8	1019,9	1002,4	16,9	2,1	5,1	26	7	0	0	0	0
Azul_Aero	876410	2013	2	4	19,6	8,4	1014,4	997,2	16,3	5	7,7	26,9	11,5	0	0	0	0
Azul_Aero	876410	2013	2	5	21,7	10,1	1014,7	997,6	15,6	3	3,6	29,6	10	0	0	0	0
Azul_Aero	876410	2013	2	6	23,3	13	1016,5	999,4	19,3	3,2	5,7	30,7	12,3	0	0	0	0
Azul_Aero	876410	2013	2	7	23,3	13,9	1017	1000	15,6	3	4,6	30,7	13,8	0	0	0	0
Azul_Aero	876410	2013	2	8	23	15,9	1014,2	997,2	14,2	2,8	4,6	30,5	13,4	0	0	0	0
Azul_Aero	876410	2013	2	9	22,7	14,8	1011,9	994,9	13,7	3,8	5,1	31,2	13,1	1	0	0	0
Azul_Aero	876410	2013	2	10	24,9	18,7	1008	991,2	12,9	3,6	4,6	32,4	17,5	1	0	0	0
Azul_Aero	876410	2013	2	11	24,1	18,7	1006,8	990	13,2	2,3	5,1	33,4	18	0	1	0	0
Azul_Aero	876410	2013	2	12	23,6	15	1002,9	986,1	15	3,1	4,6	31,5	18,5	0	0	0	0
Azul_Aero	876410	2013	2	13	20,9	10,9	1006,9	989,9	15,6	2,6	4,1	30,3	10,1	0	0	0	0
Azul_Aero	876410	2013	2	14	20,7	12,4	1011,3	994,2	14,8	2,8	4,6	30,6	10,6	0	0	0	0
Azul_Aero	876410	2013	2	15	25	15,8	1010,5	993,6	14,2	3,5	5,1	32,3	12	0	0	0	0
Azul_Aero	876410	2013	2	16	25,8	16,9	1005,1	988,3	14,3	5,1	7,7	32,5	17,3	0	0	0	0
Azul_Aero	876410	2013	2	17	20,9	14,4	1006,1	989,2	14,5	4,4	7,7	32,8	18,4	0	1	0	0
Azul_Aero	876410	2013	2	18	15	7,1	1018,7	1001,1	15	2,1	4,1	23,4	5,5	0	0	0	0
Azul_Aero	876410	2013	2	19	17,3	9,4	1020,6	1003,1	15,6	2,6	4,6	24,3	9,8	0	0	0	0
Azul_Aero	876410	2013	2	20	17,6	8,1	1019,2	1001,7	15,6	3,6	7,2	26,3	6,6	0	0	0	0
Azul_Aero	876410	2013	2	21	18,2	10	1016,7	999,4	17,5	2,6	4,6	26,8	11	0	0	0	0
Azul_Aero	876410	2013	2	22	17,9	11,1	1018,2	1000,9	12,9	4,1	6,7	27	7,9	1	0	0	0
Azul_Aero	876410	2013	2	23	20,6	15	1011,9	994,8	14,3	6,2	8,2	27,7	12,4	0	1	0	0
Azul_Aero	876410	2013	2	24	19,6	13,1	1006,9	989,8	16,3	3,7	9,3	27,5	12,6	0	1	0	0
Azul_Aero	876410	2013	2	25	16,3	9,7	1012,8	995,4	15,6	4,9	8,2	28,2	11	0	0	0	0
Azul_Aero	876410	2013	2	26	13,8	7,7	1016,3	998,6	15	3	4,1	21	6	0	0	0	0
Azul_Aero	876410	2013	2	27	14,3	5,9	1016,8	999,1	13,5	1,1	2,1	25,2	2	1	0	0	0
Azul_Aero	876410	2013	2	28	17,2	9,7	1016,1	998,7	14,3	4,4	8,2	25,7	8,6	0	0	0	0
Azul_Aero	876410	2013	3	1	17,2	14,8	1012,5	995,2	12,6	7,5	13,9	26,6	12,6	0	1	0	0
Azul_Aero	876410	2013	3	2	17,3	14,6	1004	986,8	10,3	6,3	10,3	22,2	14,5	0	1	0	0
Azul_Aero	876410	2013	3	3	16,4	12,2	1013,7	996,3	16,9	4,8	7,7	22	13,2	0	1	0	0
Azul_Aero	876410	2013	3	4	14,6	10,2	1018	1000,4	15	2,4	3,6	20,6	8,2	0	0	0	0
Azul_Aero	876410	2013	3	5	15,4	9,3	1014	996,5	11,4	1,9	3,6	24,2	5,6	1	0	0	0
Azul_Aero	876410	2013	3	6	19,1	10,9	1007,9	990,7	15	3,7	6,2	25,9	13	0	0	0	0
Azul_Aero	876410	2013	3	7	13,7	7,4	1013,2	995,8	14,3	2,4	4,6	26,9	5	0	0	0	0
Azul_Aero	876410	2013	3	8	17,3	12,4	1015,2	997,7	11,7	2,2	3,6	26,6	8,5	1	1	0	0
Azul_Aero	876410	2013	3	9	22,6	16,7	1008,8	991,8	14,3	2,4	4,6	27,7	13,2	0	1	0	0
Azul_Aero	876410	2013	3	10	18,6	9,7	1007,9	990,8	15	3,9	6,7	28,2	12,7	0	0	0	0
Azul_Aero	876410	2013	3	11	13,2	8,7	1008	990,5	16,1	3,1	9,3	21,9	4	0	0	0	0
Azul_Aero	876410	2013	3	12	13,8	6,9	1012,6	995,1	12,6	1,9	5,7	25,6	3,2	1	0	0	0
